T6SS_gene,COG_ID,Gene_Tag,Organism,TaxID,Assembly_ID,Protein_Accession,Protein_Length,Footprint,Footprint_Length,Profile_Length,Bitscore,Evalue,Membership_Class,Membership_Description,Taxonomic_Category
tssA,COG3515,ACMV_RS16965,Acidiphilium_multivorum_AIU301,926570,GCF_000202835.1,WP_013641187.1,372,1-372,372,346.0,81.0,9.31e-17,0,footprint covers most of the protein and most of the COG profile,ALPHAPROTEOBACTERIA
tssA,COG3515,ACP90_RS15795,Labrenzia_CP4,1674922,GCF_001579905.1,WP_062488882.1,427,64-314,251,346.0,54.8,4.73e-08,3,partial match on both protein and COG profile,ALPHAPROTEOBACTERIA
tssA,COG3515,ACPOL_RS18550,Acidisarcina_polymorpha_SBC82,2211140,GCF_003330725.1,WP_161557435.1,574,1-343,343,346.0,61.0,5e-10,1,footprint covers most of the COG profile and most part of the protein,ACIDOBACTERIOTA
tssA,COG3515,AKN87_RS03000,Thiopseudomonas_alkaliphila_B4199,1697053,GCF_001267175.1,WP_053102414.1,348,1-348,348,346.0,139.0,4.22e-38,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssA,COG3515,AL346_RS04540,Chelatococcus_CO-6,1702325,GCF_001271345.1,WP_053193317.1,328,1-328,328,342.0,85.4,1.45e-18,2,footprint covers most of the protein and part of the COG profile,ALPHAPROTEOBACTERIA
tssA,COG3515,AL346_RS04545,Chelatococcus_CO-6,1702325,GCF_001271345.1,WP_156332681.1,140,1-140,140,342.0,55.7,2.49e-09,2,footprint covers most of the protein and part of the COG profile,ALPHAPROTEOBACTERIA
tssA,COG3515,ALSL_RS07895,Aerosticca_soli_Dysh456,2010829,GCF_003967035.1,WP_126538052.1,352,1-352,352,346.0,136.0,8.24e-37,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssA,COG3515,AMK58_RS18780,Azospirillum_brasilense_Sp_7,192,GCF_001315015.1,WP_236778237.1,366,1-366,366,346.0,115.0,6.6e-29,0,footprint covers most of the protein and most of the COG profile,ALPHAPROTEOBACTERIA
tssA,COG3515,APT61_RS09880,Leclercia_adecarboxylata_USDA-ARS-USMARC-60222,83655,GCF_001518835.1,WP_059307752.1,528,1-417,417,346.0,87.6,1.08e-18,1,footprint covers most of the COG profile and most part of the protein,GAMMAPROTEOBACTERIA
tssA,COG3515,APT61_RS09905,Leclercia_adecarboxylata_USDA-ARS-USMARC-60222,83655,GCF_001518835.1,WP_059307757.1,436,1-181,181,346.0,94.0,4.02e-21,3,partial match on both protein and COG profile,GAMMAPROTEOBACTERIA
tssA,COG3515,AR383_RS11770,Agarivorans_gilvus_WH0801,680279,GCF_001420915.1,WP_055733317.1,369,1-369,369,346.0,99.9,2.04e-23,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssA,COG3515,ARNIT_RS08675,Arcobacter_nitrofigilis_DSM_7299,572480,GCF_000092245.1,WP_013135540.1,492,1-163,163,346.0,64.8,2.91e-11,3,partial match on both protein and COG profile,CAMPYLOBACTEROTA
tssA,COG3515,ASA_RS12300,Aeromonas_salmonicida_sub_salmonicida_A449,382245,GCF_000196395.1,WP_005310710.1,478,1-171,171,346.0,91.4,5.04e-20,3,partial match on both protein and COG profile,GAMMAPROTEOBACTERIA
tssA,COG3515,ASA_RS25770,Aeromonas_salmonicida_sub_salmonicida_A449,382245,GCF_000196395.1,WP_227534433.1,1403,193-503,311,346.0,79.5,8.15e-16,1,footprint covers most of the COG profile and most part of the protein,GAMMAPROTEOBACTERIA
tssA,COG3515,AT03_RS05025,Hafnia_alvei_FB1,1453496,GCF_000597785.2,WP_025802576.1,448,1-283,283,346.0,154.0,5.36e-43,1,footprint covers most of the COG profile and most part of the protein,GAMMAPROTEOBACTERIA
tssA,COG3515,AT03_RS05055,Hafnia_alvei_FB1,1453496,GCF_000597785.2,WP_025802564.1,475,1-229,229,346.0,45.6,4.86e-05,3,partial match on both protein and COG profile,GAMMAPROTEOBACTERIA
tssA,COG3515,AT03_RS05055,Hafnia_alvei_FB1,1453496,GCF_000597785.2,WP_025802564.1,475,230-475,246,346.0,112.0,1.78e-27,3,partial match on both protein and COG profile,GAMMAPROTEOBACTERIA
tssA,COG3515,AT03_RS08790,Hafnia_alvei_FB1,1453496,GCF_000597785.2,WP_038502131.1,530,1-426,426,346.0,85.6,5e-18,1,footprint covers most of the COG profile and most part of the protein,GAMMAPROTEOBACTERIA
tssA,COG3515,AT03_RS08815,Hafnia_alvei_FB1,1453496,GCF_000597785.2,WP_025801652.1,455,1-300,300,346.0,111.0,4.67e-27,1,footprint covers most of the COG profile and most part of the protein,GAMMAPROTEOBACTERIA
tssA,COG3515,ATSB10_RS07705,Dyella_thiooxydans_ATSB10,445710,GCF_001641285.1,WP_063671823.1,348,1-348,348,346.0,111.0,7.95e-28,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssA,COG3515,ATU_RS20340,Agrobacterium_fabrum_C58,176299,GCF_000092025.1,WP_010973762.1,351,1-351,351,346.0,189.0,5.74e-57,0,footprint covers most of the protein and most of the COG profile,ALPHAPROTEOBACTERIA
tssA,COG3515,AUO97_RS14025,Acinetobacter_baumannii_ATCC_17978-VU,470,GCF_001593425.2,WP_000020712.1,365,1-365,365,346.0,111.0,1.04e-27,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssA,COG3515,AVIN_RS12205,Azotobacter_vinelandii_DJ_ATCC_BAA-1303,322710,GCF_000021045.1,WP_012701235.1,344,1-344,344,346.0,92.2,7.8e-21,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssA,COG3515,AVIN_RS23200,Azotobacter_vinelandii_DJ_ATCC_BAA-1303,322710,GCF_000021045.1,WP_012703515.1,363,1-363,363,346.0,122.0,1.54e-31,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssA,COG3515,AVI_RS21865,Allorhizobium_ampelinum_S4,311402,GCF_000016285.1,WP_012654306.1,358,1-358,358,346.0,123.0,5.63e-32,0,footprint covers most of the protein and most of the COG profile,ALPHAPROTEOBACTERIA
tssA,COG3515,AWC35_RS19915,Gibbsiella_quercinecans_FRB97,929813,GCF_002291425.1,WP_095847905.1,531,1-420,420,346.0,69.5,9.31e-13,1,footprint covers most of the COG profile and most part of the protein,GAMMAPROTEOBACTERIA
tssA,COG3515,AWC35_RS19945,Gibbsiella_quercinecans_FRB97,929813,GCF_002291425.1,WP_095847911.1,450,1-176,176,346.0,90.9,5.2e-20,3,partial match on both protein and COG profile,GAMMAPROTEOBACTERIA
tssA,COG3515,AWC35_RS22620,Gibbsiella_quercinecans_FRB97,929813,GCF_002291425.1,WP_095848371.1,340,1-340,340,346.0,108.0,1.18e-26,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssA,COG3515,AWC36_RS04110,Brenneria_goodwinii_FRB141,1109412,GCF_002291445.1,WP_095833668.1,538,1-349,349,346.0,74.1,3.45e-14,1,footprint covers most of the COG profile and most part of the protein,GAMMAPROTEOBACTERIA
tssA,COG3515,AWN76_001440,Rhodothermaceae_bacterium_RA,1779382,GCA_001518995.2,ARA91957.1,543,1-303,303,342.0,96.9,5.93e-22,1,footprint covers most of the COG profile and most part of the protein,OTHER_BACTERIA
tssA,COG3515,AXG55_RS04425,Silvanigrella_aquatica_MWH-Nonnen-W8red,1915309,GCF_001907975.1,WP_148696923.1,373,1-373,373,346.0,72.9,5.22e-14,0,footprint covers most of the protein and most of the COG profile,BDELLOVIBRIONOTA
tssA,COG3515,AXYL_RS28295,Achromobacter_xylosoxidans_A8,762376,GCF_000165835.1,WP_013396312.1,368,1-368,368,346.0,144.0,1.25e-39,0,footprint covers most of the protein and most of the COG profile,BETAPROTEOBACTERIA
tssA,COG3515,AXYL_RS31660,Achromobacter_xylosoxidans_A8,762376,GCF_000165835.1,WP_041654587.1,349,1-349,349,346.0,88.3,2.12e-19,0,footprint covers most of the protein and most of the COG profile,BETAPROTEOBACTERIA
tssA,COG3515,AZC_RS13430,Azorhizobium_caulinodans_ORS_571,438753,GCF_000010525.1,WP_043879341.1,381,1-381,381,346.0,101.0,8e-24,0,footprint covers most of the protein and most of the COG profile,ALPHAPROTEOBACTERIA
tssA,COG3515,AZKH_RS08600,Azoarcus_KH32C,748247,GCF_000349945.1,WP_015435363.1,359,1-359,359,346.0,138.0,9.57e-38,0,footprint covers most of the protein and most of the COG profile,BETAPROTEOBACTERIA
tssA,COG3515,B0E33_RS27565,Roseibium_aggregatum_RMAR6-6,187304,GCF_001999245.1,WP_077292986.1,427,64-314,251,346.0,57.5,5.67e-09,3,partial match on both protein and COG profile,ALPHAPROTEOBACTERIA
tssA,COG3515,B5T_RS10780,Alloalcanivorax_dieselolei_B5,930169,GCF_000300005.1,WP_014994533.1,347,1-347,347,346.0,129.0,2.13e-34,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssA,COG3515,BFX80_RS10815,Cobetia_marina_JCM_21022,28258,GCF_001720485.1,WP_084208877.1,370,1-370,370,346.0,106.0,1.05e-25,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssA,COG3515,BHK69_RS16145,Bosea_vaviloviae_Vaf18,1526658,GCF_001741865.1,WP_069690987.1,431,1-349,349,342.0,119.0,3.45e-30,1,footprint covers most of the COG profile and most part of the protein,ALPHAPROTEOBACTERIA
tssA,COG3515,BHK69_RS16145,Bosea_vaviloviae_Vaf18,1526658,GCF_001741865.1,WP_069690987.1,431,350-431,82,342.0,51.1,6.45e-07,3,partial match on both protein and COG profile,ALPHAPROTEOBACTERIA
tssA,COG3515,BJ6T_RS16100,Bradyrhizobium_japonicum_USDA_6,1037409,GCF_000284375.1,WP_141378909.1,446,1-356,356,346.0,47.5,9.67e-06,1,footprint covers most of the COG profile and most part of the protein,ALPHAPROTEOBACTERIA
tssA,COG3515,BJI69_RS18055,Luteibacter_rhizovicinus_DSM_16549_LJ96,1440763,GCF_001887595.1,WP_046967706.1,342,1-342,342,346.0,112.0,6.14e-28,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssA,COG3515,BJP62_RS05310,Jeongeupia_USM3,1906741,GCF_001808185.1,WP_070527456.1,366,1-366,366,346.0,116.0,3.22e-29,0,footprint covers most of the protein and most of the COG profile,BETAPROTEOBACTERIA
tssA,COG3515,BJP62_RS16190,Jeongeupia_USM3,1906741,GCF_001808185.1,WP_070531317.1,360,1-360,360,346.0,133.0,1.73e-35,0,footprint covers most of the protein and most of the COG profile,BETAPROTEOBACTERIA
tssA,COG3515,BPET_RS12365,Bordetella_petrii_DSM_12804,94624,GCF_000067205.1,WP_012249354.1,516,1-124,124,346.0,71.6,1.67e-13,3,partial match on both protein and COG profile,BETAPROTEOBACTERIA
tssA,COG3515,BPET_RS20915,Bordetella_petrii_DSM_12804,94624,GCF_000067205.1,WP_012251007.1,348,1-348,348,346.0,99.5,2.31e-23,0,footprint covers most of the protein and most of the COG profile,BETAPROTEOBACTERIA
tssA,COG3515,BPIT_16730,Candidatus_Brocadia_pituitae,2608983,GCA_017347445.1,BBO17381.1,460,1-369,369,346.0,98.0,2.28e-22,1,footprint covers most of the COG profile and most part of the protein,PLANCTOMYCETOTA
tssA,COG3515,BRPE64_RS01635,Caballeronia_insecticola_RPE64,758793,GCF_000402035.1,WP_084675709.1,391,1-391,391,346.0,120.0,1.14e-30,0,footprint covers most of the protein and most of the COG profile,BETAPROTEOBACTERIA
tssA,COG3515,BRPE64_RS22865,Caballeronia_insecticola_RPE64,758793,GCF_000402035.1,WP_016347249.1,531,1-121,121,346.0,77.4,2.15e-15,3,partial match on both protein and COG profile,BETAPROTEOBACTERIA
tssA,COG3515,BSF38_RS18730,Paludisphaera_borealis_PX4,1387353,GCF_001956985.1,WP_083713077.1,328,1-267,267,346.0,74.1,1.28e-14,3,partial match on both protein and COG profile,PLANCTOMYCETOTA
tssA,COG3515,BVC89_RS11965,Agarilytica_rhodophyticola_017,1737490,GCF_002157225.2,WP_086931407.1,372,1-372,372,346.0,133.0,8.93e-36,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssA,COG3515,BVG12_RS30255,Massilia_putida_6NM-7,1141883,GCF_001941825.1,WP_075795639.1,326,1-326,326,346.0,114.0,9.59e-29,0,footprint covers most of the protein and most of the COG profile,BETAPROTEOBACTERIA
tssA,COG3515,BWR18_RS10210,Tateyamaria_omphalii_DOK1-4,299262,GCF_001969365.1,WP_076627969.1,347,1-347,347,346.0,98.0,7.47e-23,0,footprint covers most of the protein and most of the COG profile,ALPHAPROTEOBACTERIA
tssA,COG3515,BXE_RS11560,Paraburkholderia_xenovorans_LB400,266265,GCF_000013645.1,WP_011488483.1,365,1-365,365,346.0,100.0,1.46e-23,0,footprint covers most of the protein and most of the COG profile,BETAPROTEOBACTERIA
tssA,COG3515,C0V82_RS13165,Niveispirillum_cyanobacteriorum_TH16,1612173,GCF_002868735.1,WP_102112695.1,371,1-371,371,346.0,98.3,7.48e-23,0,footprint covers most of the protein and most of the COG profile,ALPHAPROTEOBACTERIA
tssA,COG3515,C2E15_RS03535,Mixta_gaviniae_DSM_22758,665914,GCF_002953195.1,WP_104956155.1,337,1-337,337,346.0,97.6,1.17e-22,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssA,COG3515,C6Y53_RS08315,Pukyongiella_litopenaei_SH-1,2605946,GCF_003008555.2,WP_106472011.1,355,1-355,355,346.0,97.2,1.55e-22,0,footprint covers most of the protein and most of the COG profile,ALPHAPROTEOBACTERIA
tssA,COG3515,C7R88_RS07050,Plesiomonas_shigelloides_MS-17-188,703,GCF_003019855.1,WP_106911237.1,470,1-168,168,346.0,91.8,2.99e-20,3,partial match on both protein and COG profile,GAMMAPROTEOBACTERIA
tssA,COG3515,C7R88_RS07060,Plesiomonas_shigelloides_MS-17-188,703,GCF_003019855.1,WP_106911239.1,473,222-473,252,346.0,80.2,2.83e-16,3,partial match on both protein and COG profile,GAMMAPROTEOBACTERIA
tssA,COG3515,C813_RS26570,Kosakonia_sacchari_SP1,1235834,GCF_000300455.3,WP_017457543.1,533,1-346,346,346.0,79.1,7.62e-16,1,footprint covers most of the COG profile and most part of the protein,GAMMAPROTEOBACTERIA
tssA,COG3515,C813_RS26605,Kosakonia_sacchari_SP1,1235834,GCF_000300455.3,WP_017457550.1,469,1-310,310,346.0,104.0,9.54e-25,1,footprint covers most of the COG profile and most part of the protein,GAMMAPROTEOBACTERIA
tssA,COG3515,C813_RS32720,Kosakonia_sacchari_SP1,1235834,GCF_000300455.3,WP_017457014.1,337,1-337,337,346.0,107.0,2.04e-26,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssA,COG3515,CA51_RS07825,Rosistilla_oblonga_CA51,2527990,GCF_007751715.1,WP_145119367.1,359,1-359,359,346.0,71.8,1.09e-13,0,footprint covers most of the protein and most of the COG profile,PLANCTOMYCETOTA
tssA,COG3515,CBW24_RS04410,Pacificitalea_manganoxidans_DY25,1411902,GCF_002504165.1,WP_097372798.1,396,1-396,396,346.0,48.3,5.72e-06,0,footprint covers most of the protein and most of the COG profile,ALPHAPROTEOBACTERIA
tssA,COG3515,CDO87_RS22810,Sagittula_P11,2009329,GCF_002814095.1,WP_100931214.1,449,1-362,362,346.0,46.3,2.76e-05,1,footprint covers most of the COG profile and most part of the protein,ALPHAPROTEOBACTERIA
tssA,COG3515,CEQ07_RS11870,Oligella_urethralis_FDAARGOS_329,90245,GCF_002984485.1,WP_105885903.1,351,1-351,351,346.0,81.8,3.9e-17,0,footprint covers most of the protein and most of the COG profile,BETAPROTEOBACTERIA
tssA,COG3515,CEW83_RS01565,Parazoarcus_communis_TSPY31,41977,GCF_003111645.1,WP_108947777.1,365,1-365,365,346.0,126.0,4.44e-33,0,footprint covers most of the protein and most of the COG profile,BETAPROTEOBACTERIA
tssA,COG3515,CFI11_RS14690,Thalassococcus_S3,2017482,GCF_004216475.1,WP_130407220.1,346,1-346,346,346.0,97.2,1.69e-22,0,footprint covers most of the protein and most of the COG profile,ALPHAPROTEOBACTERIA
tssA,COG3515,CFI11_RS22570,Thalassococcus_S3,2017482,GCF_004216475.1,WP_130409732.1,341,1-341,341,346.0,98.0,8.76e-23,0,footprint covers most of the protein and most of the COG profile,ALPHAPROTEOBACTERIA
tssA,COG3515,CFNIH1_08860,Citrobacter_freundii_CFNIH1,1333848,GCA_000648515.1,AHY11613.1,312,1-312,312,346.0,93.0,2.79e-21,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssA,COG3515,CFU_RS00315,Collimonas_fungivorans_Ter331,1005048,GCF_000221045.1,WP_050808426.1,361,1-361,361,346.0,151.0,1.84e-42,0,footprint covers most of the protein and most of the COG profile,BETAPROTEOBACTERIA
tssA,COG3515,CHH28_RS14615,Bacterioplanes_sanyensis_NV9,1249553,GCF_002237535.1,WP_199243916.1,374,1-374,374,346.0,112.0,4.39e-28,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssA,COG3515,CKQ53_RS07275,Lonsdalea_britannica_477,1082704,GCF_003515985.1,WP_085652809.1,466,206-466,261,346.0,86.8,1.39e-18,3,partial match on both protein and COG profile,GAMMAPROTEOBACTERIA
tssA,COG3515,CKQ53_RS07285,Lonsdalea_britannica_477,1082704,GCF_003515985.1,WP_094118684.1,471,1-201,201,346.0,95.7,1.68e-21,3,partial match on both protein and COG profile,GAMMAPROTEOBACTERIA
tssA,COG3515,CMC5_RS15015,Chondromyces_crocatus_Cm_c5,52,GCF_001189295.1,WP_050431076.1,570,1-119,119,346.0,62.9,1.54e-10,3,partial match on both protein and COG profile,MYXOCOCCOTA
tssA,COG3515,CN538_RS00040,Salinicola_tamaricis_F01,1771309,GCF_003006155.1,WP_106418140.1,374,1-374,374,346.0,106.0,7.08e-26,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssA,COG3515,CPBP_00937,Candidatus_Paracaedibacteraceae_bacterium_Lake_Konstanz,2741701,GCA_014896945.1,QOL20156.1,339,1-339,339,346.0,84.1,5.92e-18,0,footprint covers most of the protein and most of the COG profile,ALPHAPROTEOBACTERIA
tssA,COG3515,CSAL_RS11490,Chromohalobacter_salexigens_DSM_3043,290398,GCF_000055785.1,WP_011507553.1,371,1-371,371,346.0,104.0,3.55e-25,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssA,COG3515,CSK29544_RS04355,Cronobacter_sakazakii_ATCC_29544,28141,GCF_000982825.1,WP_007889057.1,340,1-340,340,346.0,112.0,4.61e-28,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssA,COG3515,CSK29544_RS18075,Cronobacter_sakazakii_ATCC_29544,28141,GCF_000982825.1,WP_029038933.1,445,1-177,177,346.0,90.9,5.21e-20,3,partial match on both protein and COG profile,GAMMAPROTEOBACTERIA
tssA,COG3515,CSK29544_RS18085,Cronobacter_sakazakii_ATCC_29544,28141,GCF_000982825.1,WP_007898029.1,528,1-190,190,346.0,64.1,5.34e-11,3,partial match on both protein and COG profile,GAMMAPROTEOBACTERIA
tssA,COG3515,CSK29544_RS19780,Cronobacter_sakazakii_ATCC_29544,28141,GCF_000982825.1,WP_071844255.1,295,1-295,295,346.0,93.7,1.41e-21,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssA,COG3515,CUN60_RS01125,Aquella_oligotrophica_DSM_100970,2067065,GCF_002892535.1,WP_102950262.1,532,1-354,354,346.0,83.7,2.08e-17,1,footprint covers most of the COG profile and most part of the protein,BETAPROTEOBACTERIA
tssA,COG3515,CV_RS19630,Chromobacterium_violaceum_ATCC_12472,243365,GCF_000007705.1,WP_011137510.1,361,1-361,361,346.0,106.0,7.26e-26,0,footprint covers most of the protein and most of the COG profile,BETAPROTEOBACTERIA
tssA,COG3515,CYFUS_RS15835,Cystobacter_fuscus_DSM_52655,43,GCF_002305875.1,WP_095985984.1,556,1-127,127,346.0,55.1,4.13e-08,3,partial match on both protein and COG profile,MYXOCOCCOTA
tssA,COG3515,CYFUS_RS42520,Cystobacter_fuscus_DSM_52655,43,GCF_002305875.1,WP_095990413.1,369,1-369,369,346.0,106.0,6.83e-26,0,footprint covers most of the protein and most of the COG profile,MYXOCOCCOTA
tssA,COG3515,D8682_RS06300,Buttiauxella_3AFRM03,2479367,GCF_003675305.1,WP_121813831.1,441,1-282,282,346.0,55.2,3.3e-08,3,partial match on both protein and COG profile,GAMMAPROTEOBACTERIA
tssA,COG3515,D8682_RS06330,Buttiauxella_3AFRM03,2479367,GCF_003675305.1,WP_121813837.1,351,1-351,351,346.0,88.7,1.5e-19,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssA,COG3515,D8682_RS08595,Buttiauxella_3AFRM03,2479367,GCF_003675305.1,WP_121814055.1,445,1-173,173,346.0,98.2,1.76e-22,3,partial match on both protein and COG profile,GAMMAPROTEOBACTERIA
tssA,COG3515,D8682_RS08630,Buttiauxella_3AFRM03,2479367,GCF_003675305.1,WP_121814062.1,531,1-419,419,346.0,96.0,1.63e-21,1,footprint covers most of the COG profile and most part of the protein,GAMMAPROTEOBACTERIA
tssA,COG3515,D8682_RS11740,Buttiauxella_3AFRM03,2479367,GCF_003675305.1,WP_121814314.1,464,1-195,195,346.0,51.4,5.59e-07,3,partial match on both protein and COG profile,GAMMAPROTEOBACTERIA
tssA,COG3515,D8682_RS11740,Buttiauxella_3AFRM03,2479367,GCF_003675305.1,WP_121814314.1,464,196-464,269,346.0,109.0,2.63e-26,3,partial match on both protein and COG profile,GAMMAPROTEOBACTERIA
tssA,COG3515,DACI_RS19330,Delftia_acidovorans_SPH-1,398578,GCF_000018665.1,WP_012205673.1,345,1-345,345,346.0,103.0,9.88e-25,0,footprint covers most of the protein and most of the COG profile,BETAPROTEOBACTERIA
tssA,COG3515,DB32_RS29200,Sandaracinus_amylolyticus_DSM_53668,927083,GCF_000737325.1,WP_053235926.1,525,1-132,132,346.0,49.0,3.57e-06,3,partial match on both protein and COG profile,MYXOCOCCOTA
tssA,COG3515,DB847_RS07795,Dongshaea_marina_DM2,2047966,GCF_003072645.1,WP_108650170.1,352,1-352,352,346.0,77.2,1.74e-15,0,footprint covers most of the protein and most of the COG profile,GAMMAPROTEOBACTERIA
tssA,COG3515,DDA3937_RS07075,Dickeya_dadantii_3937,198628,GCF_000147055.1,WP_033112263.1,479,228-479,252,346.0,73.3,5.04e-14,3,partial match on both protein and COG profile,GAMMAPROTEOBACTERIA
tssA,COG3515,DDA3937_RS07085,Dickeya_dadantii_3937,198628,GCF_000147055.1,WP_013317152.1,477,1-199,199,346.0,92.6,1.82e-20,3,partial match on both protein and COG profile,GAMMAPROTEOBACTERIA
tssA,COG3515,DEF76_RS15990,Acidibrevibacterium_fodinaquatile_G45-3,1969806,GCF_003352165.1,WP_275895690.1,386,1-386,386,346.0,113.0,3.96e-28,0,footprint covers most of the protein and most of the COG profile,ALPHAPROTEOBACTERIA
tssA,COG3515,DEH84_RS04710,Aquabacterium_olei_NBRC_110486,1296669,GCF_003100395.1,WP_109035216.1,353,1-353,353,346.0,119.0,1.8e-30,0,footprint covers most of the protein and most of the COG profile,BETAPROTEOBACTERIA
tssA,COG3515,DESAF_RS11230,Desulfocurvibacter_africanus_sub_africanus_Walvis_Bay,690850,GCF_000212675.2,WP_041281452.1,525,1-354,354,346.0,74.9,1.88e-14,1,footprint covers most of the COG profile and most part of the protein,THERMODESULFOBACTERIOTA
